REPORT RequestId: fc96bec1-4ed2-4333-a749-e18a909e347a	Duration: 577.50 ms	Billed Duration: 1053 ms	Memory Size: 256 MB	Max Memory Used: 95 MB	Init Duration: 474.59 ms	
	REPORT RequestId: 03250f28-3f16-4769-9b33-14ee995f25ba	Duration: 296.96 ms	Billed Duration: 297 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: c950f010-a5dc-4469-b449-87661b53b269	Duration: 255.30 ms	Billed Duration: 256 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: e1858708-2b89-492e-afe5-49f19e4ebdba	Duration: 364.40 ms	Billed Duration: 365 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 7582aa00-822c-4b32-8b85-a2425c80f10f	Duration: 289.58 ms	Billed Duration: 290 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: d6a5da49-5d1d-4f51-aa4b-eb23b7d6624c	Duration: 315.07 ms	Billed Duration: 316 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 31813980-4847-461d-8eb5-6eb27dfdb6b6	Duration: 394.66 ms	Billed Duration: 395 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 567b7a27-910e-4e11-91d1-a6877b251d70	Duration: 379.79 ms	Billed Duration: 380 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 1a7c7f9e-2ed9-4155-a0ab-52e701bc9fa1	Duration: 411.11 ms	Billed Duration: 412 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 41952db9-c3af-4f9e-a9ac-123b5c5cda96	Duration: 458.60 ms	Billed Duration: 459 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 54c8ad72-acd5-471b-8d16-b8fbab864ebb	Duration: 488.52 ms	Billed Duration: 489 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: a9b77427-dd5d-432c-8d88-875d3cdb36da	Duration: 492.12 ms	Billed Duration: 493 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 4e265f88-ddb7-4233-acd6-cee8a42170bf	Duration: 465.40 ms	Billed Duration: 466 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: aee6575f-8d85-434d-99a4-f1e2ffd91935	Duration: 487.53 ms	Billed Duration: 488 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: c299fcaa-fabb-4a8b-a63f-8384d704e7f2	Duration: 483.79 ms	Billed Duration: 484 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 2cd62a5a-6fd5-44a7-8b23-0af208556794	Duration: 565.23 ms	Billed Duration: 566 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 1bde82d9-4422-4dc9-bdb6-6ca84298d54d	Duration: 524.08 ms	Billed Duration: 525 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: d4a68df4-9e9d-4ef4-99f7-da8bf6af0a85	Duration: 549.45 ms	Billed Duration: 550 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: ce63c1a7-f528-4a8a-98b9-4877aa45034d	Duration: 583.58 ms	Billed Duration: 584 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 8cad489a-38a7-476e-8eb7-241c93324ac9	Duration: 642.93 ms	Billed Duration: 643 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: ee3e5039-5d07-4672-85e2-9758aeccb7dc	Duration: 744.99 ms	Billed Duration: 745 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 9139066f-f9ac-42ef-9745-02c5f50a21c3	Duration: 745.50 ms	Billed Duration: 746 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 841cbefc-a9aa-4e21-b7f9-fe7f80b7dcf1	Duration: 683.06 ms	Billed Duration: 684 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 916af7b1-cdc4-46f1-86a2-6fd2a82e5f90	Duration: 759.72 ms	Billed Duration: 760 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: d2083b10-0fdf-4cb3-9626-66a19680b4c2	Duration: 739.79 ms	Billed Duration: 740 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 4f9212c0-b90b-408e-a9ce-73490302e12c	Duration: 860.16 ms	Billed Duration: 861 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 25635a8c-80bd-4dc1-b612-54d98d2305ed	Duration: 910.07 ms	Billed Duration: 911 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 4137831e-a32a-40cf-872a-f2a4805849eb	Duration: 748.16 ms	Billed Duration: 749 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: b94105cd-1953-4317-bcea-6945afe5d0d8	Duration: 923.17 ms	Billed Duration: 924 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 4cce79a8-a093-4968-ab33-79f679d4c88f	Duration: 1011.86 ms	Billed Duration: 1012 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: a8b1d830-54e1-497e-996b-b811997d7c1b	Duration: 1075.70 ms	Billed Duration: 1076 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 33b9c3bc-d2c5-4810-a605-a3ee3cbd70f4	Duration: 1221.58 ms	Billed Duration: 1222 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 7fc3db09-5ce0-4746-a461-a8f58259958d	Duration: 1100.43 ms	Billed Duration: 1101 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 8d43c919-b21f-4cba-a5e7-4105c8f9daf6	Duration: 1179.32 ms	Billed Duration: 1180 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: fe22ef9b-db9e-4a9b-aac3-d6ee83dce015	Duration: 1222.50 ms	Billed Duration: 1223 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 5976c93e-362c-4ea1-aca6-925575cdcf53	Duration: 1046.57 ms	Billed Duration: 1047 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: c80b3a34-d57c-49ef-88c3-cf7fc2019841	Duration: 1296.37 ms	Billed Duration: 1297 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 7276d6f7-5fa7-4d0f-9bd4-89559fb19030	Duration: 1491.98 ms	Billed Duration: 1492 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 7e21e349-b148-4ab5-bb25-cf52469593df	Duration: 1490.62 ms	Billed Duration: 1491 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 232603f7-b9d0-430c-b07a-49fae2f3f897	Duration: 1509.30 ms	Billed Duration: 1510 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 10dff6b5-26c9-4dfd-ac2a-e53d93106a4b	Duration: 1562.24 ms	Billed Duration: 1563 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 11e0de52-0a79-4b6f-9b25-432957bd6348	Duration: 1073.07 ms	Billed Duration: 1074 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 7afdeb26-9e67-49e2-a31c-a28f5d83d39f	Duration: 849.82 ms	Billed Duration: 850 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 75e343be-e4b6-43bc-9bff-229ba3e957d3	Duration: 866.04 ms	Billed Duration: 867 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 34ac8dd1-2b6e-467d-8fd6-9b5b325fd06f	Duration: 916.75 ms	Billed Duration: 917 ms	Memory Size: 256 MB	Max Memory Used: 96 MB	
	REPORT RequestId: 8a4fdc5b-321e-49db-a5b3-38818d985167	Duration: 934.60 ms	Billed Duration: 935 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 8bbc0413-0b67-4acd-bcc9-ef7a28032c27	Duration: 244.25 ms	Billed Duration: 245 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: c159941a-d2a4-44fd-b420-233da82f9e76	Duration: 253.73 ms	Billed Duration: 254 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 34e4af02-782c-45f7-ac9f-eba50655c266	Duration: 239.56 ms	Billed Duration: 240 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: bf7a62f9-db72-46ae-b24a-33c73261becb	Duration: 314.57 ms	Billed Duration: 315 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 8926006e-42ee-4e2b-a8e3-8e8d48cabd5b	Duration: 309.63 ms	Billed Duration: 310 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: b9c608dd-56dc-43ef-bd3e-b6ec075b5516	Duration: 296.45 ms	Billed Duration: 297 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 613a315e-7682-4f9c-9221-28e69eb1372b	Duration: 284.65 ms	Billed Duration: 285 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: d4aac435-e53a-48a4-b4a7-d4258aae1887	Duration: 488.75 ms	Billed Duration: 489 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: e472669c-7de5-42a1-8bcd-a1202e9a1fa0	Duration: 405.17 ms	Billed Duration: 406 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 5a7219a9-3e4a-4d73-a9d1-936c581b554e	Duration: 396.92 ms	Billed Duration: 397 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: feb49d82-f7d4-476d-89c8-1b523b039c5e	Duration: 585.19 ms	Billed Duration: 586 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 0686b4fc-b1f7-4c2c-99ac-bca5072802dc	Duration: 685.83 ms	Billed Duration: 686 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 8a38fd76-0100-4cd2-b2ed-83ef819330ce	Duration: 791.27 ms	Billed Duration: 792 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: abb23ee2-821a-46ab-8d6b-6171d83315e4	Duration: 627.74 ms	Billed Duration: 628 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 8894f8a6-ed0b-4439-8e20-dbad2826d2c2	Duration: 921.25 ms	Billed Duration: 922 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 9ee21ccd-fdaa-45b1-a2bf-798e566c9632	Duration: 672.27 ms	Billed Duration: 673 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 503e2f6f-ff89-4653-b929-43ed6a38f9ab	Duration: 796.31 ms	Billed Duration: 797 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 71236f49-ab8a-42b8-bd52-920c5dc10746	Duration: 776.23 ms	Billed Duration: 777 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: b8de65f7-d3f8-4825-b2f5-d1064365e2e3	Duration: 726.55 ms	Billed Duration: 727 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: daec39f6-4f15-4a35-847b-c5c49bcb733b	Duration: 951.87 ms	Billed Duration: 952 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 8d7bb633-61bc-4bdb-b55b-cd6c9c62c53f	Duration: 1020.60 ms	Billed Duration: 1021 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 42f8e14d-c980-45a5-bc26-091ec0cd98be	Duration: 904.79 ms	Billed Duration: 905 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 2f860548-622f-4b04-b9e9-10523bfba6bf	Duration: 882.87 ms	Billed Duration: 883 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 6ce3bae7-de22-4315-97d2-e136adecfe35	Duration: 1164.58 ms	Billed Duration: 1165 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 5affc3c6-51a4-42b1-9929-d49b8acb4e46	Duration: 969.97 ms	Billed Duration: 970 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 4574b0be-d3a7-4cb0-8bad-88e2c0967dce	Duration: 1132.59 ms	Billed Duration: 1133 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 49020a0b-83cf-4ac7-b0f3-deb1a16964bb	Duration: 1404.19 ms	Billed Duration: 1405 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
	REPORT RequestId: 21306a1b-5e09-44a8-94e8-28ad1f3b8bb6	Duration: 1375.96 ms	Billed Duration: 1376 ms	Memory Size: 256 MB	Max Memory Used: 97 MB	
